timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784783593446,1645,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-8,text,true,,266649,128,10,10,https://www.selenium.dev/downloads/,663,0,548
1784783592409,3010,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-10,text,true,,361047,166,10,10,https://www.hollandandbarrett.com/shop/food-drink/?t=has_promotion%3Atrue,1542,0,172
1784783594330,1332,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-1,text,true,,18944,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,1020,0,485
1784783594424,1380,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-2,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,1299,0,1052
1784783594443,1386,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-6,text,true,,18944,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,1219,0,832
1784783594302,1529,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-4,text,true,,18924,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,1420,0,514
1784783594319,1518,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-5,text,true,,18951,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,1364,0,497
1784783595034,1096,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-7,text,true,,18897,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,864,0,443
1784783595092,1041,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-8,text,true,,18952,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,809,0,385
1784783595662,573,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-1,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,526,0,429
1784783594522,1738,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-3,text,true,,266649,128,10,10,https://www.selenium.dev/downloads/,929,0,752
1784783595830,442,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-6,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,390,0,352
1784783595837,435,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-5,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,382,0,345
1784783594425,1863,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-9,text,true,,266649,128,10,10,https://www.selenium.dev/downloads/,1049,0,778
1784783595832,688,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-4,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,440,0,377
1784783595419,1185,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-10,text,true,,266649,128,10,10,https://www.selenium.dev/downloads/,613,0,383
1784783596133,4528,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-8,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,2536,0,441
1784783596288,4787,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-9,text,true,,18944,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,4327,0,2384
1784783596130,5146,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-7,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,2558,0,444
1784783596236,5041,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-1,text,true,,52093,122,10,10,https://saucelabs.com/careers,5040,0,2445
1784783596261,5085,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-3,text,true,,18972,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,4354,0,2419
1784783596604,4765,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-10,text,true,,18938,138,10,10,https://jmeter.apache.org/download_jmeter.cgi,4455,0,2491
1784783596272,5366,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-5,text,true,,52093,122,10,10,https://saucelabs.com/careers,5366,0,2625
1784783596521,5420,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-4,text,true,,52068,122,10,10,https://saucelabs.com/careers,5420,0,3995
1784783601076,874,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-9,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,782,0,692
1784783601278,731,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-1,text,true,,29297,125,10,10,https://www.apache.org/licenses/,580,0,491
1784783601347,769,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-3,text,true,,12627,120,10,10,https://www.jenkins.io/doc/,662,0,511
1784783601640,479,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-5,text,true,,29297,125,10,10,https://www.apache.org/licenses/,368,0,230
1784783595805,6387,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-2,text,true,,52068,122,10,10,https://saucelabs.com/careers,6387,0,413
1784783601371,910,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-10,text,true,,12628,120,10,10,https://www.jenkins.io/doc/,748,0,637
1784783601943,613,HTTP Request,200,OK,NON GUI TestCases Using CSV Files 1-4,text,true,,29297,125,10,10,https://www.apache.org/licenses/,338,0,177
