timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784790320987,4889,HollandAndBarret,200,OK,HTML Dashboards Using CommandLine 1-16,text,true,,366484,149,20,100,https://www.hollandandbarrett.com/shop/sports-nutrition/,4154,0,0
1784790322064,3812,Selenium,200,OK,HTML Dashboards Using CommandLine 5-6,text,true,,266652,128,20,100,https://www.selenium.dev/downloads/,3598,0,0
1784790321468,4498,HollandAndBarret,200,OK,HTML Dashboards Using CommandLine 1-19,text,true,,368799,150,20,100,https://www.hollandandbarrett.com/shop/weight-management/,3849,0,0
1784790321468,4571,HollandAndBarret,200,OK,HTML Dashboards Using CommandLine 1-14,text,true,,370617,143,20,100,https://www.hollandandbarrett.com/shop/food-drink/,3898,0,0
1784790322372,3913,AutomationExcercise,200,OK,HTML Dashboards Using CommandLine 4-10,text,true,,8274,133,20,100,https://automationexercise.com/view_cart,3904,0,0
1784790322864,3814,Selenium,200,OK,HTML Dashboards Using CommandLine 5-10,text,true,,24186,127,20,100,https://www.selenium.dev/projects/,3807,0,0
1784790321439,5328,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-4,text,true,,138716,148,20,100,https://practicetestautomation.com/practice-test-table/,3940,0,0
1784790322468,4318,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-8,text,true,,129152,153,20,100,https://practicetestautomation.com/practice-test-exceptions/,3969,0,0
1784790322190,4596,HollandAndBarret,200,OK,HTML Dashboards Using CommandLine 1-20,text,true,,370020,143,20,100,https://www.hollandandbarrett.com/shop/food-drink/,4245,0,0
1784790322894,3904,Selenium,200,OK,HTML Dashboards Using CommandLine 5-17,text,true,,266651,128,20,100,https://www.selenium.dev/downloads/,3787,0,0
1784790322894,3942,Selenium,200,OK,HTML Dashboards Using CommandLine 5-14,text,true,,266651,128,20,100,https://www.selenium.dev/downloads/,3787,0,0
1784790322601,4324,Practice test Login,200,OK,HTML Dashboards Using CommandLine 3-1,text,true,,138729,148,20,100,https://practicetestautomation.com/practice-test-table/,3934,0,0
